,time,AAPEN,AMAW,AMINC,C1,CE3,CK1,CKD1,CKG1,CPD1,EAP,EMEC,Ex,FC,FW,GI1,IP1,IVPT,Im,KR,LPOOR,M2,MIP,N,NNI1,NR1,NW1,PBT1,PR1,Propin1,RMI1,SBER1,SE,TI1,TRT1,UNEM,UNEMREG,UNEMproc,VVP,W1,ZBT,ZK,ZMOS,ZZ
0,2013-01-01 00:00:00+00:00,10008.2,27384.2,21800,85.1,47.8,12101.5,8712.4,3325.8,14.4,75255,70899,126.5,18274.51,110.9,3217.6,101.9,113.2,92.6,5.5,19.7,26760.57,9374.9,143.3,2488.6,-3.4,7.02,37.9,13.3,3.83,105.9,3.9,1162.9,14.3,18.5,4355,1083,5.8,21507.5,57.4,1.78,0.08,729,15.69
1,2013-04-01 00:00:00+00:00,10024.9,30245,24990,80.4,47.7,12777.6,9334.4,3378.9,14.9,75458,71400,128.1,3717.51,101.22,3915.3,103.5,106.95,104,5.5,17.3,27389.7,10746.92,143.3,3515.3,1.2,6.58,37.6,12.47,4.73,103.8,3.5,924.4,14.7,18.9,4058,970,5.4,21581.2,57.26,3.06,0.08,400,14.49
2,2013-07-01 00:00:00+00:00,10055.3,29600.17,25529,84.5,45.1,13482.6,9992.4,3424.9,15.2,75981,71992,131.5,-2497.85,110.44,4920,104.7,108.54,92.5,5.5,17.3,28385.37,10978.41,143.4,3996.8,-0.5,6.89,41.6,14.92,4.8,103.2,0.8,790.2,13.3,18.41,3988,879,5.2,21585.7,54.98,4.81,0.07,923.2,16.68
3,2013-10-01 00:00:00+00:00,10030,33335.67,30533,75.1,45,14071.9,10505.1,3500.7,14.8,75423,71274,141.2,4641.35,108.65,4932.1,106.5,105.79,96.8,5.5,12.2,28500.77,13130.42,143.7,6012.5,4,7.54,41.9,16.6,5.06,103.6,6.1,1066.3,13.1,19.02,4148,918,5.5,21739.8,51.8,-4.22,0.07,-1080.4,9.69
4,2014-01-01 00:00:00+00:00,10891,30092.07,22457,90,49.9,13013.1,9515.2,3428.1,15.6,74979,70835,122.7,22458.93,106.86,3043.4,102.3,86.11,80.7,7,13.8,30395.27,9679.03,143.7,2592.3,0,7.49,35.7,11.7,4.09,71.7,-5.6,1373.6,14.4,11.7,4144,941,5.5,21674.4,59.6,3.05,0.09,451.1,14.84
5,2014-04-01 00:00:00+00:00,10872,32981.73,27059,80.1,48.6,13738.6,10138.5,3528.5,14.9,75287,71496,132.9,16907.8,106.55,4122.2,104.8,110.01,90.9,7.5,12.1,29763.03,11662.59,143.8,3640.1,1.7,6.33,36.2,14.5,4.5,118.4,3.3,1295.8,15.1,14.5,3792,869,5,21818.1,55.9,5.71,0.09,482.1,12.7
6,2014-07-01 00:00:00+00:00,31735.7,101.7,10911,18.1,106.3,13.3,14491.7,10837.8,82.8,143.9,75855,126,86.63,99.38,3580.9,107.88,7.51,0,8,27965,30196.7,962.4,11.5,5148.9,-0.3,4.52,46.1,18.1,52.4,2.1,15.4,995.9,40.7,6.67,72161,4.9,3694,21682.9,12052.76,0.09,12.32,4153,86.7
7,2014-10-01 00:00:00+00:00,10919,35706.97,32285,77.5,45.5,15492.5,11707.2,3709.5,15.2,75592,71665,116.3,-16007.7,69.38,5381,111.4,107.72,69.7,9.5,9.1,30090.23,13914.85,146.3,6540.6,4.9,7.5,41.4,15.5,5.7,111.8,2.4,1442.6,13.1,15.5,3928,883,5.2,21687.5,52.8,-3.82,0.09,-1159.6,9.06
8,2015-01-01 00:00:00+00:00,12102,31632.03,25364,84.2,50.2,13809,10178.1,3554.1,13.8,75962,71602,90.3,26758.59,53.52,2526.8,107.4,83.45,44.4,14,15.9,31291.47,11129.77,146.3,2839.1,-8,6.58,36.7,14.67,4.69,74.4,10,2310.1,13.1,14.67,4360,1001,5.7,21496.7,55.93,-2.42,0.11,-312.3,15.96
9,2015-04-01 00:00:00+00:00,12072,34717.4,29723,75.1,49.7,14198.2,10473,3647.4,13.4,76503,72236,91.6,16938.95,61.91,3768.3,108.5,106.95,58.2,12.5,14,31515.37,13042.57,146.3,3649.5,-0.4,5.91,39.4,15.56,5.3,115.2,11.9,1800.6,10.9,15.56,4268,974,5.6,21396.3,54.47,-4.47,0.11,118.8,16.78
10,2015-07-01 00:00:00+00:00,12098,32995.8,29946,80.5,46.1,14983.3,11193.3,3711.6,14.7,77183,73127,79.3,11579.68,48.28,5930.2,110.4,110.32,56.3,11,12.4,32123.27,13140.16,146.5,4102.8,-0.4,6.57,42.9,17.72,5.63,98.5,5.2,1045.7,11,17.72,4056,919,5.3,21398.7,51.51,-3.45,0.11,1827.4,15.91
11,2015-10-01 00:00:00+00:00,12081,36703.83,36100,71.4,46.1,15540.6,11611.8,3847.7,13,76702,72330,82.4,15050.32,41.48,6177.5,112.9,105.93,51.5,11,10,32319.5,15840.67,146.5,6534.2,3,6.83,44,20.53,4.96,119.5,12.6,1530,9.9,20.53,4372,1001,5.7,21340.1,50.31,-12.19,0.11,-356.7,15.48
12,2016-01-01 00:00:00+00:00,12425,34011.2,26646,82.4,50.3,14557.1,10594.3,3878.5,13.6,75950,71475,61.4,9531.46,33.89,2869.1,102.1,81.83,36.2,11,16,34485.27,11714.56,146.5,2803.9,0.3,6.42,37.9,12.71,5,71.8,3.7,1309.6,11.9,12.71,4475,1062,5.9,21378.1,56.92,-2.45,0.13,65.2,23.67
13,2016-04-01 00:00:00+00:00,12406,37404.87,30234,75.8,49.9,14943.4,10926,3931.8,13.7,76558,72225,68.5,2074.45,46.3,4181.5,103.3,108.3,52.5,11,13.5,35145.93,13291.91,146.6,3891.2,1.7,6.15,39.3,13.56,5.25,112.3,8.8,1073,10.8,13.56,4333,968,5.7,21403.8,55.64,-5.19,0.12,290.3,18.6
14,2016-07-01 00:00:00+00:00,12435,35712.1,30540,80.1,46.7,15650.3,11598.2,3965.6,14.3,77297,73237,71.8,1166.95,43.39,6084.3,104.1,108.72,51.1,10.5,12.8,36019.4,13426.21,146.7,4499.1,1.7,6.4,42.4,16.89,5.01,99.8,3.9,724,10.8,16.89,4060,862,5.3,21426.6,52.67,-5.03,0.11,1585.2,16.45
15,2016-10-01 00:00:00+00:00,17426,39832.73,36150,73,46.4,16247.7,12126,4033.9,13.5,76739,72633,84.1,5531.95,48.39,6638.5,105.4,108.13,56.5,10,10.1,36210.93,15892.57,146.8,7539.7,4,6.53,43,18.8,5.21,117.3,9.5,1337.6,10.6,18.8,4106,895,5.4,21578.5,51.4,-13.07,0.11,-901.2,11.33
16,2017-01-01 00:00:00+00:00,12929,35939.4,27763,82.5,49.7,15354.3,11145.5,4114.5,13.4,75756,71548,83.7,22116.45,52.29,3222.7,101,85.62,54.1,10,15,38299.03,12227.15,146.8,3181.8,0.6,6.1,39.4,10.23,4.36,76.3,3.5,1718.1,11,10.23,4208,911,5.6,21637,57.96,0.7,0.13,40.9,17.66
17,2017-04-01 00:00:00+00:00,12911,40119.46,31307,77.2,49.6,15957.8,11686.5,4176.3,14.1,75843,71896,84.8,5460.78,47.86,5072.2,102.3,106.47,63.4,9.75,13.8,38813.97,13787.82,146.8,4372.3,2.6,5.94,39.5,12.89,4.53,111.3,6.1,995.5,10.9,12.89,3952,816,5.2,21755.4,57.6,0.29,0.12,699.9,14.63
18,2017-07-01 00:00:00+00:00,12962,37739.55,31325,82.6,46.4,16694.2,12410.6,4187.6,14.7,76693,72852,85.9,-4161.88,53.23,6354.8,101.7,108.22,62.9,9,13.1,38813.97,13795.96,146.9,4841.4,2.3,6.47,42.9,15.9,4.54,99.5,0.4,632.5,10.7,15.9,3841,732,5,21934,54.04,1.64,0.11,1513.4,14.28
19,2017-10-01 00:00:00+00:00,13323,42792.6,37225,75.1,46.1,17283.2,12935.4,4252.5,14.3,76481,72607,103.5,11154.82,63.74,7031.5,102.5,108.02,68.7,8.25,9.9,39784.3,16394.2,146.9,7793.6,2.9,6.4,43.1,18.7,4.8,118.2,7.7,1526.4,10.9,18.7,3874,776,5.1,21939,51.9,-5.27,0.1,-762.1,9.71
20,2018-01-01 00:00:00+00:00,40607.87,77.1,13351,10.2,100.8,11.6,16508.9,11900.7,83.5,146.9,75901,103,32036.54,66.06,4503.3,89.17,3.12,0,7.5,28937,42028.4,2127.3,14.2,3418.2,1.3,4.3,48.6,10.2,60.3,1,14.2,-24,39.8,5.9,72056,5.1,3845,22221.7,12750.9,0.12,12.52,3442.2,61.7
21,2018-04-01 00:00:00+00:00,13345,44434.89,32371,80.4,46.1,17252.9,12569.4,4577.2,14.9,76064,72444,110.2,21144.73,75.12,5828.2,102.1,110.42,69.1,7.25,12.8,42918.8,14264,146.8,4474.7,3.4,5.92,42,9.5,4.7,110.4,1.3,2331.1,11.9,9.5,3621,706,4.8,22290.5,60.1,6,0.12,1353.5,11.11
22,2018-07-01 00:00:00+00:00,13383,41850.46,32512,84.7,42.7,18077.9,13361.9,4608.6,15.4,76572,73058,112.2,29856.32,77.24,6667.7,102.5,109.05,64.2,7.25,12.9,44135.37,14325.9,146.8,5566.7,3.2,6.4,45.6,13.6,4.7,99.3,-3.3,2560.5,11.7,13.6,3514,649,4.6,22429.9,56.4,12.48,0.12,1101,11.41
23,2018-10-01 00:00:00+00:00,14102,46832,38848,75.5,42.4,18865.5,14051.7,4705.2,15.5,76223,72569,124.2,33648.39,60.61,6850.4,104.3,105.6,69.7,7.5,10,44454.9,17117.9,146.8,7968.5,2.4,6.2,45.9,16.8,4.6,117.2,6.6,3373.1,11.7,16.8,3654,693,4.8,22532.2,53.9,10.45,0.12,-1118.1,8.33
24,2019-01-01 00:00:00+00:00,14141,43883.27,30164,86.2,46.2,18016.2,13016.2,4889.3,15.3,75015,71402,104.8,31113.58,65.44,3531.4,101.8,85.87,60.6,7.75,14.3,46347.7,13282.5,146.8,3530.4,-1.4,5.8,42.2,9,4.6,76.2,-0.1,2714.4,11.6,9,3613,818,4.8,22680.9,61.2,5.35,0.15,1,11.71
25,2019-04-01 00:00:00+00:00,48434.63,113.5,14150,9.5,102.5,11.1,18714.2,13646.9,80.3,146.7,75067,102,11517.62,69.01,4955.5,105.87,9.99,0,7.75,34484,46437.47,1988.8,12.7,5828,3.6,5,45.1,9.5,60.2,0.9,15.2,961.2,43.8,5.7,71637,4.6,3430,22750.9,15184.6,0.12,9.73,4866.8,70.5
26,2019-07-01 00:00:00+00:00,14205,45670.53,34997,83.5,42.7,19507.2,14427.7,4967.3,15.5,75633,72302,104.3,8962.77,62.31,7617.7,102.3,109.33,70.1,7,12,47428.17,15410.8,146.8,5811.5,0.8,6.1,46.5,13.3,5.2,101.1,0.2,1694.2,10.8,13.3,3331,666,4.4,22981.7,56,13.83,0.13,1806.2,8.85
27,2019-10-01 00:00:00+00:00,14904,51690.9,41328,74.9,42.9,20159.8,15018.9,5028.5,15.4,75878,72392,113.5,11816.55,63.86,7861.8,103,103.26,73.4,6.25,9.2,44454.9,18198.3,146.7,8702,1.4,6.1,46.4,16.2,5.5,117.2,8.3,1974.6,10.7,16.2,3485,691,4.6,22915.7,54.5,7.09,0.13,-840.2,7.09
28,2020-01-01 00:00:00+00:00,14980,48292.7,31479,87.1,48,19478.5,14037.1,5272.2,15.5,74753,71289,90.7,24328.32,40.78,3632.4,102.42,84.91,59.1,6,12.6,51199.13,13858.6,146.6,3646.8,2.2,5.9,41.8,4,4.1,75,-4.8,1818.5,10.2,4,3464,727,4.6,22860.5,63.8,2.45,0.15,-14.4,8.5
29,2020-04-01 00:00:00+00:00,14976,50725.2,32725,67.4,50.4,16823.5,11282.2,5369.4,14.5,74580,70112,71.5,1537.76,32.8,5897.6,103.11,91.98,57.2,5.5,13.2,52782.23,14407.2,146.5,4714.9,7.8,4,39.9,9.2,4,103.6,10.3,1055.6,9.7,9.2,4468,2787,6,21136.5,60.8,-3.65,0.17,1182.7,9.42
30,2020-07-01 00:00:00+00:00,15026,49017.43,34698,80.4,42.9,19695.7,14143.1,5380.6,16.4,75174,70402,79.8,6252.02,43.05,6880.2,103.54,119.98,63.7,4.5,13.3,54791.4,15275.4,146.4,5664.5,4.4,5.5,48.2,10.4,4.3,104,-1.2,1109.8,8.9,10.4,4772,3687,6.3,22676.2,57.5,-6.66,0.15,1215.7,6.54
31,2020-10-01 00:00:00+00:00,15745,56030.13,42543,71,41.1,20942.1,15289.7,5478.3,15.6,75184,70603,95.1,6956.73,45,8841.9,104.44,106.71,69.9,4.25,13,56006.03,18729.2,146.1,9184.8,3.4,5.5,48.9,16.7,4.8,121.6,10,1482.5,10,16.7,4581,2773,6.1,22855,54.8,-14.4,0.13,-342.9,5.46
32,2021-01-01 00:00:00+00:00,15674,52143,32865.4,87.6,45.3,20524.5,14688.6,5646,15.43,75034.055,70827.846,93.7,22637.38,63.3,5103.4,105.55,90.86287044,63.7,4.3,14.2,58142.9,14411.9,145.7,4004.6,2.2,4.4,43.4,5.2,5.7,96.4,-5.2,1911.4,11.3,21,4206.209,1037.262333,5.6,23037,63.7,2.4,0.14,1098.8,6.91
33,2021-04-01 00:00:00+00:00,17432,57275,38638.9,80.53,42.4,21835.6,15824,5817.4,15.48,75251.174,71530.761,115.6,18291.85,69.4,7053.1,106.02,114.113714,81.1,4.9,12.5,58887.3,16943.6,145.7,5598.8,0.4,5.6,47.6,10.9,5.6,106.84,3.6,2580.6,10,19.8,3720.413,798.3843333,4.9,23384.7,58.1,2.4,0.13,1454.3,5.02
34,2021-07-01 00:00:00+00:00,20843.76,54133,41078,81.7,37.8,23146.8,17061.7,5886.8,15.1,75554.508,72201.866,133.4,33630.51,73.5,8260.7,106.85,110.7087521,80.8,6.3,11,59593.5,18013.2,145.6,6606.1,0.9,5.5,52.7,11.9,5.6,108.63,2.3,3481,9.5,22.5,3352.642,663.6046667,4.4,23529.1,54.5,2.8,0.12,1654.6,4.49
35,2021-10-01 00:00:00+00:00,15846.43667,62828,48169.5,73.8,36.5,24536.1,18236.6,6095.5,15.9,75559.981,72317.153,148.9,47759.24,76.1,10978.4,108.31,113.3169128,89.2,7.5,8.5,61244.1,21123,145.5,10413.8,0.3,6.7,53.8,14,5.1,100.57,10,4517.5,9.7,19.6,3242.828,561.711,4.3,23745.1,54.6,3.4,0.1,564.6,3.46
36,2022-01-01 00:00:00+00:00,16887.05,60101,36233.6,92.7,39.2,24139.7,17628.8,6307,15.35,74698.362,71549.763,168.2,66441.25,93.5,5861.6,111.54,89.28889721,89.1,12.9,14.3,65985,15822.2,145.2,4870,4.7,4.5,50.4,2.3,6.5,98.43,-12.8,6727.2,10.4,20.5,3148.599,473.2296667,4.2,23809.1,66.2,7.4,0.11,991.6,2.27
37,2022-04-01 00:00:00+00:00,17446.89333,63784,44373.7,76.2,40.7,24387.4,17420.3,6747.3,13.71,74892.35,71924.638,163.2,82060.8,84.8,6876.9,116.94,100.0995528,71.4,13.8,12.1,68557.405,19376.8,145.2,6735.5,-2.7,4.3,52.6,12,6,99.38,12.8,5589.1,6.7,21.2,2967.712,487.9426667,4,22678.1,56.5,4.1,0.12,141.4,2.56
38,2022-07-01 00:00:00+00:00,18437.41,61385,46014.6,77.9,38.3,25326.5,18438.5,6675,15.5,75104.063,72223.274,152,45144.51,76.9,9237.8,114.36,106.2462093,86.5,8.3,11.8,73085.16667,20093.3,145.5,7929.2,1.5,5.1,54.4,12.2,6.4,96.89,5.1,3904,7.3,21.7,2880.789,521,3.8,22796,54.6,1.4,0.11,1308.6,1.99
39,2022-10-01 00:00:00+00:00,18503.82,71377,53428,70.1,38.1,27363.2,19772.2,7377,15.6,70770,6889,144.7,56353.44,68.1,12217.4,112.18,100.548341814353,98.9,7.5,7.9,78299.26667,23558.6,,12249,2,5.8,54,13.1,6.2,99.8,12.3,3118.2,7.9,20.5,2802.9,684,3.7,22921,54.4,1.32,0.11,-31.6,0.044
